u_symptom,incident_count,prolonged_incidents,prolonged_rate_pct,smoothed_prolonged_rate_pct,risk_lift_pct_points,avg_complexity_score,avg_reassignments,avg_reopens
Symptom 430,2,1,50.00,11.04,1.56,25.50,4.50,0.00
Symptom 434,6,1,16.67,10.25,0.77,30.33,6.67,0.17
Symptom 143,6,1,16.67,10.25,0.77,17.17,2.50,0.00
Symptom 269,1,1,100.00,11.25,1.77,45.00,0.00,0.00
Symptom 407,1,0,0.00,9.29,-0.19,4.00,0.00,0.00
Symptom 227,3,1,33.33,10.83,1.35,16.33,1.33,0.00
Symptom 389,6,0,0.00,8.46,-1.02,10.67,1.50,0.00
Symptom 125,1,0,0.00,9.29,-0.19,15.00,2.00,0.00
Symptom 553,3,2,66.67,12.72,3.24,50.67,0.33,0.00
Symptom 452,1,0,0.00,9.29,-0.19,32.00,3.00,1.00
Symptom 260,3,2,66.67,12.72,3.24,16.33,2.33,0.00
Symptom 505,1,0,0.00,9.29,-0.19,11.00,1.00,0.00
Symptom 283,1,1,100.00,11.25,1.77,33.00,1.00,0.00
Symptom 542,1,0,0.00,9.29,-0.19,10.00,0.00,0.00
Symptom 10,112,4,3.57,5.39,-4.08,11.43,1.79,0.01
Symptom 255,6,1,16.67,10.25,0.77,12.33,1.83,0.00
Symptom 540,1,1,100.00,11.25,1.77,18.00,0.00,0.00
Symptom 345,1,1,100.00,11.25,1.77,17.00,1.00,0.00
Symptom 232,32,2,6.25,8.22,-1.26,9.66,1.25,0.00
Symptom 487,5,1,20.00,10.44,0.96,9.40,0.20,0.00
Symptom 65,71,6,8.45,8.88,-0.60,10.52,1.13,0.03
Symptom 267,25,10,40.00,19.65,10.17,15.68,0.80,0.00
Symptom 237,7,2,28.57,11.82,2.34,9.57,0.86,0.00
Symptom 224,1,0,0.00,9.29,-0.19,7.00,0.00,0.00
Symptom 516,1,0,0.00,9.29,-0.19,8.00,0.00,0.00
Symptom 320,1,0,0.00,9.29,-0.19,7.00,0.00,0.00
Symptom 435,4,2,50.00,12.48,3.00,21.50,1.50,0.00
Symptom 301,18,1,5.56,8.44,-1.04,9.17,1.17,0.00
Symptom 469,7,2,28.57,11.82,2.34,10.43,1.00,0.00
Symptom 268,2,1,50.00,11.04,1.56,29.50,0.50,0.00
Symptom 114,34,2,5.88,8.02,-1.46,12.71,0.88,0.12
Symptom 533,3,0,0.00,8.94,-0.54,8.33,1.67,0.00
Symptom 400,1,0,0.00,9.29,-0.19,29.00,2.00,0.00
Symptom 88,3,0,0.00,8.94,-0.54,14.00,1.00,0.00
Symptom 105,144,2,1.39,3.47,-6.01,5.20,0.28,0.01
Symptom 203,1,0,0.00,9.29,-0.19,10.00,1.00,0.00
Symptom 448,1,0,0.00,9.29,-0.19,8.00,1.00,0.00
Symptom 248,1,0,0.00,9.29,-0.19,4.00,0.00,0.00
Symptom 423,7,2,28.57,11.82,2.34,18.43,1.71,0.00
Symptom 408,1,0,0.00,9.29,-0.19,7.00,0.00,0.00
Symptom 597,1,0,0.00,9.29,-0.19,12.00,2.00,0.00
Symptom 485,1,1,100.00,11.25,1.77,58.00,3.00,0.00
Symptom 379,3,0,0.00,8.94,-0.54,8.00,1.67,0.00
Symptom 162,1,0,0.00,9.29,-0.19,11.00,0.00,0.00
Symptom 42,1,0,0.00,9.29,-0.19,21.00,2.00,0.00
Symptom 417,1,0,0.00,9.29,-0.19,14.00,2.00,0.00
Symptom 552,1,0,0.00,9.29,-0.19,12.00,0.00,0.00
Symptom 595,14,1,7.14,8.97,-0.51,11.93,2.43,0.00
Symptom 291,4,3,75.00,14.33,4.85,52.75,0.75,0.00
Symptom 494,196,39,19.90,17.78,8.30,17.06,2.32,0.01
Symptom 246,2,1,50.00,11.04,1.56,14.50,2.00,0.00
Symptom 223,1,1,100.00,11.25,1.77,26.00,0.00,0.00
Symptom 544,3,1,33.33,10.83,1.35,17.33,1.33,0.33
Symptom 157,1,0,0.00,9.29,-0.19,13.00,0.00,0.00
Symptom 333,9,1,11.11,9.73,0.25,12.89,2.33,0.00
Symptom 245,7,1,14.29,10.07,0.59,13.43,0.86,0.00
Symptom 433,1,1,100.00,11.25,1.77,106.00,0.00,0.00
Symptom 467,3,0,0.00,8.94,-0.54,19.67,4.67,0.00
Symptom 507,3,2,66.67,12.72,3.24,21.67,3.67,0.00
Symptom 121,11,1,9.09,9.41,-0.07,14.27,1.64,0.00
Symptom 258,3,1,33.33,10.83,1.35,20.33,1.33,0.00
Symptom 426,3,0,0.00,8.94,-0.54,5.33,0.00,0.00
Symptom 502,2,0,0.00,9.11,-0.36,10.00,1.00,0.00
Symptom 154,1,0,0.00,9.29,-0.19,23.00,7.00,0.00
Symptom 474,26,0,0.00,6.24,-3.24,12.50,1.85,0.04
Symptom 213,2,1,50.00,11.04,1.56,13.50,1.00,0.00
Symptom 497,4,2,50.00,12.48,3.00,18.00,3.00,0.00
Symptom 587,39,0,0.00,5.33,-4.15,6.03,0.33,0.00
Symptom 4,348,32,9.20,9.23,-0.25,11.38,1.25,0.02
Symptom 80,2,1,50.00,11.04,1.56,21.50,4.50,0.00
Symptom 381,25,2,8.00,8.99,-0.49,9.80,0.40,0.04
Symptom 534,1283,4,0.31,0.66,-8.82,4.59,0.18,0.01
Symptom 69,5,4,80.00,15.89,6.41,33.40,2.40,0.00
Symptom 116,426,11,2.58,3.31,-6.17,7.65,0.69,0.00
Symptom 129,7,1,14.29,10.07,0.59,14.86,2.14,0.00
Symptom 197,2,2,100.00,12.96,3.48,23.00,0.50,0.00
Symptom 98,2,0,0.00,9.11,-0.36,10.00,0.00,0.00
Symptom 574,1,0,0.00,9.29,-0.19,7.00,0.00,0.00
Symptom 342,1,0,0.00,9.29,-0.19,18.00,0.00,0.00
